MPRN,Meter Serial Number,Read Value,Read Type,Read Date & Time
10003251046,33964936,0.397000,Active Import Interval (kW),18-01-2023 03:30
10003251046,33964936,0.374000,Active Import Interval (kW),18-01-2023 03:00
10003251046,33964936,0.660000,Active Import Interval (kW),18-01-2023 02:30
10003251046,33964936,0.461000,Active Import Interval (kW),18-01-2023 02:00
10003251046,33964936,0.446000,Active Import Interval (kW),18-01-2023 01:30
10003251046,33964936,0.535000,Active Import Interval (kW),18-01-2023 01:00
10003251046,33964936,1.915000,Active Import Interval (kW),18-01-2023 00:30
10003251046,33964936,0.891000,Active Import Interval (kW),18-01-2023 00:00
10003251046,33964936,0.773000,Active Import Interval (kW),17-01-2023 23:30
10003251046,33964936,2.541000,Active Import Interval (kW),17-01-2023 23:00
10003251046,33964936,2.513000,Active Import Interval (kW),17-01-2023 22:30
10003251046,33964936,1.593000,Active Import Interval (kW),17-01-2023 22:00
10003251046,33964936,2.468000,Active Import Interval (kW),17-01-2023 21:30
10003251046,33964936,1.683000,Active Import Interval (kW),17-01-2023 21:00
10003251046,33964936,1.665000,Active Import Interval (kW),17-01-2023 20:30
10003251046,33964936,1.478000,Active Import Interval (kW),17-01-2023 20:00
10003251046,33964936,1.706000,Active Import Interval (kW),17-01-2023 19:30
10003251046,33964936,1.942000,Active Import Interval (kW),17-01-2023 19:00
10003251046,33964936,2.410000,Active Import Interval (kW),17-01-2023 18:30
10003251046,33964936,1.370000,Active Import Interval (kW),17-01-2023 18:00
10003251046,33964936,1.357000,Active Import Interval (kW),17-01-2023 17:30
10003251046,33964936,2.017000,Active Import Interval (kW),17-01-2023 17:00
10003251046,33964936,2.916000,Active Import Interval (kW),17-01-2023 16:30
10003251046,33964936,2.577000,Active Import Interval (kW),17-01-2023 16:00
10003251046,33964936,1.092000,Active Import Interval (kW),17-01-2023 15:30
10003251046,33964936,1.164000,Active Import Interval (kW),17-01-2023 15:00
10003251046,33964936,0.971000,Active Import Interval (kW),17-01-2023 14:30
10003251046,33964936,1.631000,Active Import Interval (kW),17-01-2023 14:00
10003251046,33964936,0.426000,Active Import Interval (kW),17-01-2023 13:30
10003251046,33964936,0.619000,Active Import Interval (kW),17-01-2023 13:00
10003251046,33964936,0.531000,Active Import Interval (kW),17-01-2023 12:30
10003251046,33964936,2.109000,Active Import Interval (kW),17-01-2023 12:00
10003251046,33964936,2.116000,Active Import Interval (kW),17-01-2023 11:30
10003251046,33964936,2.184000,Active Import Interval (kW),17-01-2023 11:00
10003251046,33964936,1.468000,Active Import Interval (kW),17-01-2023 10:30
10003251046,33964936,1.728000,Active Import Interval (kW),17-01-2023 10:00
10003251046,33964936,1.896000,Active Import Interval (kW),17-01-2023 09:30
10003251046,33964936,0.624000,Active Import Interval (kW),17-01-2023 09:00
10003251046,33964936,0.339000,Active Import Interval (kW),17-01-2023 08:30
10003251046,33964936,0.371000,Active Import Interval (kW),17-01-2023 08:00
10003251046,33964936,0.396000,Active Import Interval (kW),17-01-2023 07:30
10003251046,33964936,0.294000,Active Import Interval (kW),17-01-2023 07:00
10003251046,33964936,0.311000,Active Import Interval (kW),17-01-2023 06:30
10003251046,33964936,0.437000,Active Import Interval (kW),17-01-2023 06:00
10003251046,33964936,0.401000,Active Import Interval (kW),17-01-2023 05:30
10003251046,33964936,0.349000,Active Import Interval (kW),17-01-2023 05:00
10003251046,33964936,0.396000,Active Import Interval (kW),17-01-2023 04:30
10003251046,33964936,0.396000,Active Import Interval (kW),17-01-2023 04:00
10003251046,33964936,0.414000,Active Import Interval (kW),17-01-2023 03:30
10003251046,33964936,0.530000,Active Import Interval (kW),17-01-2023 03:00
10003251046,33964936,0.951000,Active Import Interval (kW),17-01-2023 02:30
10003251046,33964936,1.368000,Active Import Interval (kW),17-01-2023 02:00
10003251046,33964936,0.602000,Active Import Interval (kW),17-01-2023 01:30
10003251046,33964936,0.737000,Active Import Interval (kW),17-01-2023 01:00
10003251046,33964936,1.422000,Active Import Interval (kW),17-01-2023 00:30
10003251046,33964936,0.488000,Active Import Interval (kW),17-01-2023 00:00
10003251046,33964936,0.538000,Active Import Interval (kW),16-01-2023 23:30
10003251046,33964936,1.106000,Active Import Interval (kW),16-01-2023 23:00
10003251046,33964936,1.360000,Active Import Interval (kW),16-01-2023 22:30
10003251046,33964936,0.603000,Active Import Interval (kW),16-01-2023 22:00
10003251046,33964936,0.668000,Active Import Interval (kW),16-01-2023 21:30
10003251046,33964936,0.567000,Active Import Interval (kW),16-01-2023 21:00
10003251046,33964936,1.543000,Active Import Interval (kW),16-01-2023 20:30
10003251046,33964936,1.401000,Active Import Interval (kW),16-01-2023 20:00
10003251046,33964936,1.771000,Active Import Interval (kW),16-01-2023 19:30
10003251046,33964936,1.770000,Active Import Interval (kW),16-01-2023 19:00
10003251046,33964936,1.255000,Active Import Interval (kW),16-01-2023 18:30
10003251046,33964936,1.289000,Active Import Interval (kW),16-01-2023 18:00
10003251046,33964936,1.194000,Active Import Interval (kW),16-01-2023 17:30
10003251046,33964936,2.155000,Active Import Interval (kW),16-01-2023 17:00
10003251046,33964936,2.882000,Active Import Interval (kW),16-01-2023 16:30
10003251046,33964936,2.921000,Active Import Interval (kW),16-01-2023 16:00
10003251046,33964936,2.337000,Active Import Interval (kW),16-01-2023 15:30
10003251046,33964936,1.305000,Active Import Interval (kW),16-01-2023 15:00
10003251046,33964936,0.890000,Active Import Interval (kW),16-01-2023 14:30
10003251046,33964936,0.377000,Active Import Interval (kW),16-01-2023 14:00
